Sample,cluster,dataset,bundesland,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
1-D-2-2s-3,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
104-D-2-32L-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
114-B-1-69L-1,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
118-B-1-63s-1,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
119-B-1-66s-1,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
12-D-2-44L-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
124-B-1-66L-1,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
125-B-1-73L-1,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
126-A-2-26s-2,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
13-D-2-43L-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
14-D-2-43L-2,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
154-A-2-47L-2,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
155-A-2-47s-3,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
169-K-1-18L-3,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
174-K-1-32s-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
186-K-1-18L-6,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
22-C-1-60L-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
231-K-1-12L-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
238-F-1-4L-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
271-I-1-32-1,3,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
29-D-2-35s-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
325-C-1-6s-3,3,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
332-C-1-31L-1,3,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
382-A-2-35s-1,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
386-C-1-33L-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
390-A-2-36s-3,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
394-L-2-24-1,3,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
429-D-2-25L-2,3,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
468-H-1-30-2,3,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
55-C-1-66L-3,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
552-H-1-1-2,3,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
599-F-1-14-1,3,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
652-G-2-6-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
653-G-2-1-2,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
663-G-2-3-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
665-G-2-9-2,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
669-L-3-21-3,3,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
7-C-1-34s-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
701-E-1-75s-1,3,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
704-E-1-70L-4,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
709-A-2-49L-5,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
716-E-1-70L-5,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
717-E-1-74s-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
767-E-1-67s-1,3,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
774-B-1-44-s,3,Environment,Thuringia,wt,wt,susceptible,susceptible,susceptible,susceptible
882-F-1-39-1,3,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
901-A-2-45L-5,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
940-A-2-43L-2,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
975-B-1-27-5,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
978-B-1-46-5,3,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
C13-NRZ-2017-069,3,Hospitals,Hesse,NA,NA,susceptible,NA,susceptible,susceptible
C17-NRZ-2017-134,3,Hospitals,Hesse,NA,NA,susceptible,susceptible,susceptible,susceptible
C24-NRZ-2017-362,3,Hospitals,Hamburg,NA,NA,resistant,resistant,resistant,resistant
C28-NRZ-2017-534,3,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C29-NRZ-2017-537,3,Hospitals,Lower Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
C32-NRZ-2018-097,3,Hospitals,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
C34-NRZ-2018-123,3,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C43-NRZ-2018-313,3,Hospitals,Saxony-Anhalt,mutation,mutation,resistant,susceptible,susceptible,resistant
C45-NRZ-2018-326,3,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C46-NRZ-2018-396,3,Hospitals,Berlin,NA,NA,susceptible,NA,susceptible,susceptible
C49-NRZ-2018-646,3,Hospitals,Rhineland-Palatinate,NA,NA,resistant,resistant,resistant,resistant
113-B-1-71L-1,4,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
115-B-1-70s-1,4,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
616-D-2-23L-5,4,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
355-E-1-35-1,5,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
692-L-3-24-3,5,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
120-B-1-68s-1,6,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
16-D-2-39L-2,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
180-K-1-8L-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
190-K-1-4s-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
211-L-2-11-2,6,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
220-L-2-11-4,6,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
227-F-1-10L-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
230-K-1-4s-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
259-I-1-25-1,6,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
262-I-1-12-1,6,Environment,Saxony,mutation,mutation,resistant,resistant,resistant,resistant
275-I-1-19-2,6,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
334-E-1-48-2,6,Environment,Saxony-Anhalt,mutation,mutation,resistant,resistant,resistant,resistant
349-E-1-33L-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
375-C-1-6s-2,6,Environment,Saxony-Anhalt,mutation,mutation,resistant,resistant,resistant,resistant
377-C-1-33L-2,6,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
4-C-1-24L-2,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
410-L-2-21-2,6,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
43-C-1-69L-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
439-A-3-46s-1,6,Environment,Thuringia,NA,NA,resistant,resistant,resistant,resistant
442-D-2-17L-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
47-C-1-72L-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
480-E-1-21-2,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
52-C-1-64L-2,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
699-A-2-49L-2,6,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
72-C-1-67s-1,6,Environment,Saxony-Anhalt,mutation,mutation,resistant,resistant,resistant,resistant
860-F-1-42-2,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
9-D-2-15L-2,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
92-D-2-43s-1,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
939-E-1-75s-2,6,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
C1-NRZ-2014-065,6,Hospitals,Saxony,mutation,wt,resistant,susceptible,resistant,resistant
C20-NRZ-2017-282,6,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C25-NRZ-2017-381,6,Hospitals,Saxony-Anhalt,NA,NA,resistant,susceptible,susceptible,resistant
C27-NRZ-2017-508,6,Hospitals,Bavaria,NA,NA,susceptible,susceptible,susceptible,susceptible
C35-NRZ-2018-146,6,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C37-NRZ-2018-272,6,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C40-NRZ-2018-290,6,Hospitals,Berlin,mutation,wt,resistant,resistant,susceptible,resistant
C47-NRZ-2018-529,6,Hospitals,North Rhine-Westphalia,NA,NA,resistant,susceptible,resistant,resistant
C4-NRZ-2016-063,6,Hospitals,Lower Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
C7-NRZ-2016-121,6,Hospitals,Brandenburg,mutation,mutation,resistant,resistant,resistant,resistant
100-C-1-80s-1,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
111-C-1-76s-1,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
122-B-1-75L-1,7,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
128-A-2-27s-1,7,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
153-A-2-48s-2,7,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
164-K-1-3L-2,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
167-K-1-34L-1,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
210-L-2-22-4,7,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
243-F-1-33L-2,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
264-I-1-22-5,7,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
265-I-1-22-4,7,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
269-I-1-32-2,7,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
289-I-1-2-2,7,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
305-B-1-48-5,7,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
319-B-1-30-1,7,Environment,Thuringia,wt,wt,susceptible,susceptible,susceptible,susceptible
393-A-3-43s-1,7,Environment,Thuringia,wt,wt,susceptible,susceptible,susceptible,susceptible
423-D-2-25L-3,7,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
452-C-1-51s-1,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
454-A-3-40L-1,7,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
459-H-1-21-5,7,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
473-E-1-7-1,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
476-H-1-21-9,7,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
487-E-1-20-2,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
540-K-1-1L-2,7,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
542-K-1-48s-1,7,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
545-K-1-8L-3,7,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
569-H-1-10-6,7,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
588-I-1-48-3,7,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
64-C-1-90L-1,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
649-G-2-22-4,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
656-G-2-14-1,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
670-L-3-15-2,7,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
672-L-3-11-1,7,Environment,Saxony,wt,wt,susceptible,susceptible,susceptible,susceptible
698-L-3-11-2,7,Environment,Saxony,mutation,mutation,resistant,resistant,resistant,resistant
74-C-1-94L-2,7,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
766-E-1-65L-2,7,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
C11-NRZ-2017-040,7,Hospitals,Bavaria,NA,NA,resistant,resistant,resistant,resistant
C14-NRZ-2017-076,7,Hospitals,Schleswig-Holstein,NA,NA,resistant,resistant,resistant,resistant
C15-NRZ-2017-096,7,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C16-NRZ-2017-115,7,Hospitals,Lower Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
C18-NRZ-2017-195,7,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C21-NRZ-2017-283,7,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C26-NRZ-2017-434,7,Hospitals,Saxony-Anhalt,NA,NA,resistant,susceptible,susceptible,resistant
C31-NRZ-2018-043,7,Hospitals,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
C36-NRZ-2018-236,7,Hospitals,Brandenburg,NA,NA,susceptible,susceptible,susceptible,susceptible
C38-NRZ-2018-281,7,Hospitals,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
C3-NRZ-2016-032,7,Hospitals,Lower Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
C41-NRZ-2018-300,7,Hospitals,Berlin,mutation,wt,resistant,resistant,susceptible,resistant
C44-NRZ-2017-339,7,Hospitals,Berlin,NA,NA,susceptible,susceptible,susceptible,susceptible
C50-NRZ-2018-649,7,Hospitals,Hesse,NA,NA,susceptible,susceptible,susceptible,susceptible
C5-NRZ-2016-071,7,Hospitals,Lower Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
110-C-1-76s-2,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
112-B-1-78L-1,8,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
121-B-1-67L-1,8,Environment,Thuringia,NA,NA,susceptible,susceptible,susceptible,susceptible
179-K-1-1L-5,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
197-L-2-7-2,8,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
2-D-2-15L-3,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
205-L-2-15-4,8,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
229-K-1-24L-1,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
24-C-1-93s-1,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
327-C-1-28L-2,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
336-E-1-49-1,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
347-E-1-46-2,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
383-C-1-27s-1,8,Environment,Saxony-Anhalt,wt,wt,susceptible,susceptible,susceptible,susceptible
625-H-1-26-1,8,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
658-G-2-5-2,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
666-L-3-21-1,8,Environment,Saxony,NA,NA,susceptible,susceptible,susceptible,susceptible
68-C-1-93L-3,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
703-E-1-66s-1,8,Environment,Saxony-Anhalt,NA,NA,susceptible,susceptible,susceptible,susceptible
