Metabolite,AB01-C35-NRZ-2018-146,AB01-C7-NRZ-2016-121,AB01-C48-NRZ-2018-539,AB01-C15-NRZ-2017-096,AB01-C16-NRZ-2017-115,AB01-C32-NRZ-2018-097,AB01-C9-NRZ-2016-342,AB01-C19-NRZ-2017-214,AB01-C50-NRZ-2018-649,AB01-C10-NRZ-2017-039,AB01-C41-NRZ-2018-300,AB01-C43-NRZ-2018-313,AB01-C36-NRZ-2018-236,AB01-C8-NRZ-2016-141,AB01-C27-NRZ-2017-508,AB01-C22-NRZ-2017-322,AB01-C45-NRZ-2018-326,AB01-C47-NRZ-2018-529,AB01-C49-NRZ-2018-646,AB01-C33-NRZ-2017-101,AB01-C13-NRZ-2017-069,AB01-C28-NRZ-2017-534,AB01-C31-NRZ-2018-043,AB01-C30-NRZ-2017-546,AB01-C18-NRZ-2017-195,AB01-C24-NRZ-2017-362,AB01-C42-NRZ-2018-307,AB01-C20-NRZ-2017-282,AB01-C39-NRZ-2018-286,AB01-C23-NRZ-2017-346,AB01-C34-NRZ-2018-123,AB01-C40-NRZ-2018-290,AB01-C2-NRZ-2015-218,AB01-C37-NRZ-2018-272,AB01-C5-NRZ-2016-071,AB01-C14-NRZ-2017-076,AB01-C26-NRZ-2017-434,AB01-C25-NRZ-2017-381,AB01-C46-NRZ-2018-396,AB01-C3-NRZ-2016-032,AB01-C1-NRZ-2014-065,AB01-C38-NRZ-2018-281,AB01-C29-NRZ-2017-537,AB01-C6-NRZ-2016-108,AB01-C11-NRZ-2017-040,AB01-C17-NRZ-2017-134,AB01-C44-NRZ-2017-339,AB01-C4-NRZ-2016-063,AB01-C21-NRZ-2017-283
R3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3206,-62.04674887,0,-58.93568916,-72.78041174,-71.90334721,-70.80448425,0,-71.75127685,-61.41299913,0,-60.808668,-71.63396293,-62.53015303,-65.62857564,-66.16048162,-53.44165758,-70.16917094,-37.73388018,-74.37607221,-58.19961342,-60.59346729,-73.41759037,-71.06175594,-66.40790569,-58.41607906,-69.61481169,-71.93021614,-69.61138376,-64.00332645,-62.81181481,-67.93687765,-62.42511397,-46.01977027,-71.84728917,-62.37569757,-61.11704315,-55.19571819,-69.60691336,-70.1070887,0,-72.70395122,-73.56217145,0,-64.33343479,-72.38036338,-56.19203362,-59.68082133,0,-55.36738333
R321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3214,-107.4677062,-107.6916316,-151.379064,-114.206437,-118.7091667,-119.3390473,-107.7270175,-125.7605318,-107.9303607,-106.8137828,-116.2952732,-126.9271671,-118.1414146,-121.4976756,-152.0872094,-107.2087922,-119.2624383,-193.7841033,-123.6627029,-118.1592588,-117.6559673,-120.9805152,-119.993564,-122.6384694,-114.1168481,-121.1407702,-122.944717,-114.3464646,-119.5872037,-118.386679,-109.2656675,-108.5716499,-117.4349112,-109.3159031,-109.2316574,-119.568902,-107.4435652,-112.203061,-118.6172123,-121.4567727,-114.0822326,-121.1581305,-108.0659984,-110.208019,-110.821423,-150.977564,-151.4865937,-106.5138964,-117.0251443
R3215,-4.829702948,-4.877219678,-4.705844845,-5.073598666,-5.208700843,-5.138191144,-4.877056444,-4.980815431,-4.94826513,-4.983495928,-5.115976969,-4.997311881,-5.169814697,-4.886000028,-4.743280231,-4.982611193,-5.255418395,-3.809416982,-5.181590375,-20.32385923,-5.063324551,-5.178974308,-5.033494321,-4.688210556,-5.221789916,-5.027298029,-5.090562423,-5.047388547,-5.17203841,-5.105902519,-4.989556961,-4.845857651,-5.053314261,-5.053417072,-4.970988894,-5.091407638,-4.847440351,-4.643042794,-5.126239832,-4.848174096,-5.151528211,-5.192363015,-4.912740712,-5.029739089,-5.092055686,-4.642288567,-4.729329889,-4.803197332,-5.093258551
R3216,3.686803483,3.734685307,3.580644718,3.833060402,3.882451228,3.840307788,3.734685307,3.770481888,3.776578172,3.835433908,3.807992568,3.768513545,3.850766993,3.737895145,3.599197938,3.835433908,3.970435513,2.960015596,3.861604848,3.83387428,3.808846969,3.87391764,3.840307788,3.605326355,3.948067446,3.780712497,3.861604848,3.825835432,3.842456822,3.808846969,3.764371514,3.686803483,3.756792217,3.817097324,3.87564462,3.796720758,3.70246309,3.44578954,3.840307788,3.703602858,3.87391764,3.87391764,3.775286718,3.780220439,3.850945855,3.578330287,3.619681427,3.652973155,3.800264427
R3217,-227.2053644,-225.4528326,-88.87096259,-209.1576604,-228.7544777,-222.6589787,-233.0557177,-225.8391085,-211.8646711,-244.3085266,-217.7815032,-226.0720805,-220.2259998,-230.8463466,-66.7117039,-245.4273123,-246.7367801,-83.27510024,-220.3928844,-236.3683771,-213.0372153,-220.8243054,-222.6834879,-219.6564532,-244.0586827,-216.1576095,-218.7714837,-230.166185,-212.6856045,-219.0163031,-215.0882464,-225.1579135,-229.6430622,-220.8778206,-216.1479518,-215.342181,-223.3844707,-216.6214507,-218.5233673,-226.227913,-229.2499853,-222.4843422,-245.856764,-212.9967914,-214.2418136,-89.55776746,-89.6127757,-214.5697658,-238.0467217
R322,0,0,129.1549381,0,0,0,0,0,0,0,0,0,0,0,141.8306437,0,0,90.12335436,0,0,0,0,0,0,0,0,0,0.890160544,0,0,0,0,0,0,0,0,0,0,0,0,0.713534131,0,0,0,1.265865793,136.1571257,137.9482539,0,0
R3222,5.747936334,5.962783393,5.271599035,6.404195151,6.625813146,6.436714371,5.962783393,6.12340364,6.150757832,6.414845138,6.291715091,6.114571631,6.483645111,5.977186027,5.354847841,6.414845138,7.020601052,2.960015596,6.532274868,6.407847044,6.295548811,6.587522705,6.436714371,5.382346217,6.920234923,6.169308661,6.532274868,6.371776512,6.446357145,6.295548811,6.095986221,5.747936334,6.061977707,6.332568383,6.595271708,6.241138171,5.818201419,4.666500137,6.436714371,5.823315588,6.587522705,6.587522705,6.144963044,6.167100786,6.48444767,5.261214117,5.446757821,5.596138718,6.25703871
R3223,2.441099742,2.472803169,2.37081009,2.537939112,2.570641677,2.542737738,2.472803169,2.496504738,2.500541199,2.539510653,2.521341242,2.495201462,2.549662968,2.474928462,2.383094514,2.539510653,2.628897675,1.959880243,2.55683891,2.538477995,2.521906957,2.564991434,2.542737738,2.387152251,2.614087371,2.50327861,2.55683891,2.533155328,2.544160652,2.521906957,2.492458948,2.441099742,2.487440557,2.527369667,2.566134898,2.513877972,2.451468253,2.28152002,2.542737738,2.452222914,2.564991434,2.564991434,2.499686104,2.50295281,2.549781396,2.369277663,2.396657006,2.418700065,2.516224299
R3224,-48.73996258,-48.925058,-69.27365622,-70.36178267,-50.23065791,-49.74354096,-71.2003285,-51.00512506,-49.396585,-48.88609169,-71.00420405,-72.01380629,-71.13598609,-48.80854006,-69.8148993,-48.87032829,-73.176793,-54.58374855,-71.14197343,-52.20162337,-70.82104131,-71.07265186,-70.63401921,-49.33798665,-50.33151448,-70.55253187,-71.14938644,-72.96008822,-71.40081616,-49.74057779,-49.15801581,-69.89589458,-74.24461139,-70.03669097,-50.32156718,-49.74127331,-70.61213859,-70.36644583,-70.64057617,-48.73442739,-51.92990631,-50.09114794,-48.73707689,-69.95735837,-70.4520009,-70.04439589,-51.92968617,-70.1780205,-74.573645
