truth,pred,fold_id
environmental,0.774635313,1
environmental,0.318000289,1
environmental,0.604642406,1
clinical,0.264696766,1
clinical,0.605915288,1
environmental,0.804598499,1
environmental,0.671298547,1
environmental,0.358992759,1
environmental,0.783168579,1
environmental,0.759741154,1
environmental,0.732921651,1
environmental,0.733795833,1
environmental,0.58773636,1
environmental,0.505941759,1
clinical,0.521239803,1
clinical,0.599896214,1
environmental,0.60893131,1
environmental,0.844437708,1
clinical,0.374218538,1
environmental,0.60569658,1
clinical,0.329519237,1
clinical,0.682974678,1
environmental,0.503549043,1
environmental,0.458870662,1
environmental,0.810107871,1
environmental,0.624371398,1
environmental,0.522578646,1
environmental,0.805340805,1
environmental,0.559164952,1
environmental,0.740941478,1
environmental,0.410320521,1
environmental,0.506081531,1
clinical,0.39814019,1
environmental,0.610997526,1
environmental,0.804719339,1
environmental,0.550666236,1
clinical,0.298988248,1
clinical,0.461232078,1
environmental,0.444748618,1
environmental,0.560083907,1
environmental,0.729762299,1
clinical,0.349264258,1
environmental,0.512175005,1
environmental,0.610900277,1
environmental,0.655638511,1
clinical,0.71760298,1
environmental,0.607622525,1
environmental,0.675964493,1
environmental,0.891038468,1
environmental,0.603553332,1
environmental,0.655480106,1
environmental,0.436838729,1
environmental,0.779103009,1
environmental,0.845130349,1
environmental,0.646890211,1
environmental,0.378737028,1
environmental,0.917987558,1
environmental,0.903518454,1
environmental,0.845726254,1
clinical,0.459266679,1
environmental,0.770022975,1
environmental,0.832225676,1
clinical,0.330016777,1
environmental,0.578095778,1
clinical,0.514148572,1
environmental,0.366092601,1
clinical,0.643274571,1
environmental,0.802696799,1
environmental,0.863391448,1
environmental,0.790255083,1
environmental,0.917609865,1
environmental,0.654557089,1
clinical,0.736764528,1
environmental,0.895247685,1
environmental,0.70352932,1
environmental,0.425950489,1
clinical,0.371685124,1
environmental,0.523365846,1
clinical,0.66863057,1
environmental,0.73397377,1
clinical,0.352561468,1
environmental,0.475189718,1
clinical,0.520099137,1
environmental,0.59065761,1
environmental,0.585445795,1
environmental,0.504960717,1
environmental,0.276509806,1
environmental,0.539279833,1
environmental,0.630038616,1
environmental,0.317109722,1
environmental,0.665307947,1
environmental,0.505697093,1
clinical,0.663548512,1
environmental,0.422327962,1
environmental,0.343608206,1
environmental,0.302176962,1
environmental,0.321771303,1
environmental,0.857662577,1
environmental,0.764632681,1
environmental,0.334136195,1
environmental,0.234270927,1
environmental,0.705059408,1
environmental,0.555267606,1
environmental,0.434857805,1
environmental,0.239891271,1
environmental,0.530618541,1
clinical,0.639629459,1
environmental,0.552832379,1
environmental,0.862729248,1
environmental,0.369433668,1
clinical,0.424162429,1
environmental,0.738837219,1
environmental,0.588147156,1
environmental,0.569010624,1
environmental,0.754618415,1
environmental,0.599994823,1
environmental,0.705831432,1
clinical,0.636189974,1
environmental,0.683019402,1
environmental,0.760999908,1
clinical,0.542100001,1
environmental,0.474524994,1
environmental,0.52517405,1
environmental,0.586505151,1
environmental,0.606738086,1
clinical,0.584541096,1
environmental,0.626097174,1
environmental,0.386848795,1
environmental,0.331027476,1
environmental,0.710201166,1
environmental,0.74461763,1
environmental,0.680266504,1
clinical,0.223560069,1
environmental,0.684772881,1
environmental,0.595139358,1
environmental,0.48184474,1
environmental,0.600851208,1
clinical,0.275165344,1
environmental,0.73185399,1
environmental,0.472359502,1
environmental,0.643713311,1
environmental,0.358083743,1
environmental,0.770792419,1
environmental,0.319507944,1
environmental,0.63737932,1
environmental,0.921633026,1
environmental,0.697397935,1
environmental,0.447089608,1
clinical,0.775735455,1
environmental,0.846118439,1
environmental,0.754653816,1
environmental,0.816509926,1
environmental,0.543491764,1
clinical,0.671952696,1
environmental,0.740181222,1
clinical,0.445554969,1
clinical,0.392941004,1
clinical,0.263553692,1
environmental,0.475554682,1
environmental,0.690152019,1
clinical,0.454936296,1
clinical,0.830867241,1
clinical,0.538734775,1
environmental,0.851058698,1
environmental,0.663645868,1
environmental,0.726093482,1
clinical,0.285870457,1
environmental,0.678362213,1
environmental,0.806261636,1
environmental,0.704624631,1
clinical,0.490870095,1
environmental,0.805218466,1
environmental,0.614609989,1
environmental,0.508714204,1
clinical,0.788800575,1
environmental,0.473835511,1
environmental,0.585555709,1
environmental,0.788149782,1
environmental,0.776669449,1
environmental,0.622291532,1
environmental,0.361621136,1
environmental,0.712873057,1
environmental,0.705506335,1
clinical,0.447094966,1
environmental,0.691723166,1
environmental,0.876903348,1
environmental,0.51068447,1
environmental,0.457832566,1
environmental,0.605730524,1
environmental,0.666380972,1
environmental,0.589067633,1
clinical,0.207467228,1
environmental,0.706982233,1
environmental,0.581357701,1
environmental,0.747006221,1
environmental,0.490884387,1
environmental,0.692438435,1
environmental,0.452387105,1
clinical,0.512791173,1
environmental,0.671203809,1
environmental,0.665298164,1
environmental,0.531575783,1
environmental,0.665879196,1
environmental,0.337557678,1
environmental,0.664026857,1
environmental,0.699806565,1
environmental,0.833021407,1
environmental,0.55122334,1
clinical,0.267365185,1
environmental,0.718049519,1
environmental,0.553753908,1
environmental,0.489485328,1
environmental,0.770981657,1
environmental,0.821002731,1
environmental,0.51660192,1
environmental,0.690876296,1
environmental,0.697001676,1
environmental,0.71691749,1
environmental,0.33907927,1
clinical,0.757834313,1
environmental,0.713798731,1
environmental,0.535863924,1
environmental,0.345958401,1
environmental,0.638282901,1
environmental,0.3988796,1
environmental,0.699833519,1
environmental,0.759149516,1
environmental,0.535876249,1
environmental,0.421131627,1
environmental,0.761602116,1
environmental,0.782678139,1
environmental,0.501919299,1
environmental,0.854524015,1
