Metabolites,D1005,D10074,D10119,D10122,D1114,D1327,D1359,D1382,D1466,D1595,D1611,D1636,D1651,D1688,D1736,D1778,D1949,D2005,D2006,D2088,D2179,D2373,D2394,D2508,D2654,D2758,D2846,D2851,D2906,D3114,D3197,D3425,D3434,D348,D3657,D3731,D3827,D3829,D3913,D3918,D3981,D4216,D4275,D443,D4907,D5122,D5419,D5444,D5680,D5887,D5925,D6042,D6088,D6124,D6295,D6376,D6383,D6497,D6511,D6516,D6724,D6772,D6993,D7378,D7394,D7452,D7469,D7709,D7779,D8095,D81,D8906,D907,D9164,D95,D9637,D9646,D9719,D994,D9951
EX_gua_e_,13.2231119,3.2683639,4.6568148,37.7180757,19.4041517,25.3246434,16.5708892,4.9184071,1.578259,10.7555327,2.9254364,8.0748806,5.032466,1.8568568,2.7874329,44.8120153,6.6217539,8.4232044,12.4882052,16.6078219,97.7291032,17.8896167,1.9651364,5.5156723,12.4258307,2.2678295,4.7699349,23.5592076,7.4745002,20.443086,17.3921833,25.2575062,4.925248,0.8214204,21.4393228,0.9872226,2.6892826,34.1303863,35.0408649,2.4685775,14.0028044,15.8106403,2.4331634,33.5460678,67.7984804,16.7826102,13.1266774,3.3836653,27.7163792,18.3691848,6.8429947,15.7931216,44.0868876,25.2313822,19.7867247,0.7701362,16.5890315,17.0819439,6.164714,31.6368707,24.4190157,2.0250756,6.9310615,8.5952904,14.8023564,4.4133834,2.629872,16.5031708,21.6615301,22.0728854,17.4155653,27.2740832,11.4874745,3.239431,16.426175,17.3907295,1.1248619,7.8689023,25.6750785,27.1286337
EX_5ohfvsglu_e_,33.6833528,3.8673382,11.1391846,15.8702451,17.8660336,24.3081549,6.8330962,18.0573502,1.6065693,24.8368883,6.1957158,7.0473357,1.4493392,12.3964806,4.4386345,17.3172391,7.8977504,9.5638227,24.0013065,2.414332,6.1439555,16.7545252,27.406481,28.2096648,10.6969785,29.2539674,19.2530755,1.13643,14.5063312,46.1416514,9.4961371,14.3391247,4.6246088,4.9121215,24.5485951,68.7372928,6.7064756,32.8914376,25.5849994,7.3228552,20.7606948,9.7681702,6.6017204,10.2702022,40.6356096,4.5284551,1.8919915,12.5426079,10.3578847,11.8698264,38.2347854,1.1143416,9.9127346,0.5047492,12.5426079,19.4464829,26.5147271,6.3754339,3.593698,39.7752777,7.9866383,11.9917387,7.1442775,30.0710693,29.7929733,4.7925398,2.977424,8.2963966,7.9447255,6.5679074,23.5227138,30.7798076,40.041708,10.5292823,6.5074437,4.6126639,1.1545445,19.4464829,12.7174141,19.5401316
EX_dhcinnm_e_,8.3370127,6.3042987,14.0418672,28.7794569,15.9533932,25.0831443,1.025432,6.4381809,0.5054559,51.3680238,20.5300157,2.3070504,32.4285911,2.9043955,35.0846582,13.8590741,25.1310093,23.7364958,16.439743,0.3345485,11.2542097,11.1065511,9.5645452,19.6338025,6.7463219,12.4181994,22.4050804,19.9825266,53.5870204,15.7063238,23.467114,34.3176755,14.6174806,4.2961638,20.1208112,1.6424208,2.3987095,5.0998226,6.4024459,24.1069664,20.4673383,18.3379459,0.3935604,8.5921131,30.3332394,22.7461901,13.1295617,14.0418672,18.5384275,6.3503804,6.8307252,49.621567,13.961429,22.0655477,23.496453,22.7461901,62.3706434,17.303719,5.0195388,31.7146719,9.4058265,19.9825266,22.4370792,11.363917,0.6523068,6.595254,17.303719,8.045838,2.3492992,3.8367745,27.6788442,0.2742498,10.8995319,10.2780016,4.0726239,5.7162348,2.2773069,30.8169818,22.4370792,36.4024835
EX_brv_e_,7.8282608,7.8206587,51.7942937,4.7850808,35.1276333,14.1855806,4.9739579,3.7321445,3.2211684,18.3395453,6.6819187,3.9703839,16.1951353,6.5548602,27.0935538,26.1535964,23.5743132,26.8802928,12.3356355,9.4129639,3.3524564,10.9223325,25.2800003,15.0779064,17.3626053,4.8515941,4.5739491,1.0235118,27.7624373,30.6972042,11.581137,31.4844478,0.4094176,3.1261598,19.2804846,2.5763162,20.9744519,11.6055549,5.1268499,10.2984652,12.0128828,2.9440803,3.4054749,2.8885943,6.6723075,3.6092501,25.3153357,4.823787,10.0388676,6.8290143,17.0319621,15.090539,19.3870523,18.8598497,10.8505718,17.7096347,36.290312,8.4014721,12.1317398,12.3356355,5.0104602,8.4043825,13.0401275,10.8872411,16.7894439,7.0783089,46.8761869,16.684395,21.9839741,6.4698292,29.0472997,19.3925582,16.6206004,25.5989699,19.2804846,16.7482066,0.62047,13.392346,8.0986105,9.6195435
EX_atvacylgluc_e_,7.890558,4.4484414,10.3174652,40.5566552,16.9173603,3.668636,19.3345749,5.3118777,0.8289998,7.1578231,1.7302147,9.2299258,7.3091441,19.0772428,16.7259053,23.0442148,4.0266454,14.884279,9.3309275,5.2361783,12.9759305,5.1215989,15.662568,4.1790761,8.0925277,1.9868883,9.6119642,12.0553876,6.2184079,9.8097849,11.8446446,4.9186598,8.402698,18.0967239,5.3506037,0.7221863,11.1959044,15.6099889,22.476957,10.564121,21.8122774,16.9021571,27.9384087,4.7280149,15.7282194,14.655768,12.6725928,0.924717,3.0903594,8.0119413,24.709672,6.9599256,1.9219749,15.349379,7.3091441,13.3108636,13.1597718,6.745007,2.9949514,12.3574326,7.0543001,10.0968369,20.4163719,1.3517866,4.9145562,17.3453401,8.1811734,17.028161,19.081819,17.8390849,2.2361835,52.4337682,11.1054498,34.867028,1.0726422,3.4186283,2.3510483,37.5790153,13.3108636,1.5897422
EX_nsldp_m5_glc_e_,5.1162352,18.8642101,16.6122465,10.575345,39.4941837,16.3803378,11.391225,10.873272,7.2294883,5.0959702,6.1360355,0.1766151,31.7131138,25.3532726,11.3086533,34.218019,5.7495086,36.381004,11.285969,7.280488,39.6834136,22.2096,7.0302175,0.401108,10.8186337,4.1237668,6.7021267,27.1674165,31.0936326,17.1904983,5.7337366,19.7880588,16.4119291,2.5014266,16.6263755,54.6407665,0.4524728,1.8668713,14.6659279,19.3729721,45.4682432,4.451918,13.2189426,12.6529932,5.828302,11.8344859,1.5287681,19.3358284,31.3572315,9.9459868,6.967748,34.743332,3.2040873,49.7848171,16.4119291,22.2096,18.625673,1.1824206,6.1468226,21.55212,18.4950668,27.6549703,26.0503575,13.6592729,5.1556543,9.0571982,3.9409338,23.3799601,0.7625027,5.1716344,13.9886299,9.8249683,7.6421907,28.4114786,24.4127399,24.9330092,0.6672691,25.5471297,0.8257916,11.1411684
EX_2oh_mtz_e_,6.7973154,20.7574289,31.820709,20.343699,16.5264315,6.0373564,2.5407875,10.0591879,9.5177221,34.9627552,50.3884499,3.5677457,23.7377334,11.7562533,7.9499653,2.054231,53.1053492,29.0151886,23.2459841,27.1203468,26.8613874,3.8055162,6.0079303,20.1208,2.1174263,4.4163497,26.0044935,18.68764,34.1270035,4.7279216,1.8789413,7.2856944,6.2039313,9.135232,51.4484628,20.8423033,32.369862,5.2607442,11.8787686,6.3833081,71.0224397,5.4964876,19.771503,7.5738243,22.122857,40.2232177,2.7014043,9.0143897,25.0403854,6.4564503,47.2648434,20.1000019,21.564591,12.4755203,10.0591879,22.122857,10.7624461,1.911899,5.8999191,30.7987595,2.8894024,0.8261603,5.9072051,6.7486444,9.9449351,20.0202627,13.3677102,0.714457,75.5537925,10.8186715,22.1511949,14.0783498,12.8314779,49.1691706,2.1268572,0.943156,1.2990775,11.9765459,1.9856861,11.3000279
EX_dcf_e_,17.12501937,11.98491143,32.77547499,23.84500914,4.56380828,14.3334533,0.02658805,6.58579366,8.69236708,39.62388249,17.65516656,4.75878765,22.85031907,19.66945163,9.47980092,13.98187932,58.3504115,11.3617022,17.16625352,1.49017296,17.44964027,31.06042669,45.58538151,15.73369654,4.02518508,21.58549856,9.14831845,28.16334912,25.75321302,23.99241246,6.57085306,0.29762557,0.81132658,3.50324108,20.89011296,42.76952771,4.1690286,1.00374214,2.59704849,10.63910728,23.84559585,8.91719147,17.93681339,2.85126698,2.52101447,29.28425415,3.02691966,3.6952212,4.19217414,9.92381011,10.02759295,10.33416416,14.7900265,29.91925642,15.73369654,22.85031907,14.34114433,2.07180346,15.57814815,35.47698044,0.90016769,22.32638403,15.22143638,18.36790823,0.25973834,10.86800163,4.02089676,13.38072772,27.71573662,21.15906213,14.52493226,5.68049963,7.62775044,34.80528222,5.16408081,4.72202327,0.47825498,7.76768074,43.48785586,13.57708093
EX_prob_e_,9.0235254,2.6511484,1.1464733,22.3149014,24.6139321,6.6023062,0.9304386,28.7532621,12.2118116,3.7551212,5.4351355,10.1130111,11.9012886,37.4671741,17.9114005,0.7501655,9.6063866,29.2763208,13.616891,7.8019026,37.0748666,17.5807783,9.172645,6.7105902,22.9229962,6.4841118,11.0735579,0.9402806,10.6949875,14.65946,13.2684121,9.4170443,0.755376,4.6422641,16.4449091,26.8757959,11.2940512,3.9511373,8.2867013,3.66944,24.803481,12.9406562,3.0721402,15.3884154,38.1983317,3.3807286,10.6186113,18.2101593,3.4590491,1.852664,38.7526571,44.3389943,18.3108175,25.8449421,15.5315182,24.6139321,64.7255442,8.0905555,5.9877551,6.3652217,40.0300561,11.7829696,13.9637982,12.6107864,52.2769377,8.9253787,32.8393605,26.8130296,6.8460813,38.9123454,21.42358,1.606158,29.5998592,19.3155433,30.623797,15.5315182,2.2976749,14.0878333,1.783996,28.5243989
EX_4hphac_e_,13.4570162,23.7637162,35.4825625,12.6123702,22.8926708,23.1284748,17.5496825,7.1073765,0.9053904,12.5104838,11.3196849,5.5829205,37.6685604,13.6223655,8.3945886,33.9179703,15.1719138,11.2834685,19.0491965,4.712434,3.6061301,20.7534423,12.4051861,3.9687267,0.9020919,21.7380223,6.7162014,10.9247388,24.912763,1.3821862,14.4264695,6.0478259,13.3564404,11.0117739,3.526115,0.1953957,10.064692,22.4485515,16.9484428,6.3698734,7.1523003,8.445603,23.4135232,8.3957679,24.1754313,20.5518232,1.2967072,18.2728918,14.9735161,24.7551944,11.5268179,18.3968463,10.630751,18.7362833,29.5641743,2.3398346,16.6188573,17.1685854,7.0146127,36.3688279,57.7440595,5.7306492,21.5728428,5.5757572,14.6580312,12.1078809,9.140284,10.0693682,38.4021996,4.383949,5.9981895,10.1536729,4.9165372,6.6000476,28.4332309,2.1126147,2.6510332,61.7761144,23.321366,5.0830049
